결제방법,결제·취소일시,Order No,결제상태,입금·취소액,고객 이름,operator
가상계좌,2024-03-30 22:52:33,000001522,완료,56350,,
가상계좌,2024-03-30 17:52:10,000001520,완료,51700,,
가상계좌,2024-03-30 15:12:40,000001519,완료,57850,,
가상계좌,2024-03-30 15:11:28,000001518,완료,69300,,
가상계좌,2024-03-30 10:41:08,000001502,완료,192400,,
가상계좌,2024-03-29 21:50:30,000001516,완료,99900,,
가상계좌,2024-03-29 20:46:25,000001517,완료,48800,,
가상계좌,2024-03-29 20:13:03,000001494,완료,19200,,
가상계좌,2024-03-29 17:08:22,000001508,완료,94400,,
가상계좌,2024-03-29 17:06:30,000001514,완료,15100,,
가상계좌,2024-03-29 16:57:48,000001483,완료,63000,1_ 소미 무카타 _F,fie
가상계좌,2024-03-29 16:43:26,000001513,완료,108400,1_방콕태국음식 _F,fie
가상계좌,2024-03-29 16:43:26,000001513,완료,108400,1_방콕태국음식 _F,fie
가상계좌,2024-03-29 16:32:29,3000000472,완료,326400,1_ 신세계빌 _H,hung
가상계좌,2024-03-29 16:32:29,3000000472,완료,326400,1_ 신세계빌 _H,hung
가상계좌,2024-03-29 16:32:29,3000000472,완료,326400,1_ 신세계빌 _H,hung
가상계좌,2024-03-29 16:32:29,3000000472,완료,326400,1_ 신세계빌 _H,hung
가상계좌,2024-03-29 16:14:22,000001507,완료,486000,초티카 _R,rung
가상계좌,2024-03-29 16:14:22,000001507,완료,486000,초티카 _R,rung
가상계좌,2024-03-29 16:14:22,000001507,완료,486000,초티카 _R,rung
가상계좌,2024-03-29 16:14:22,000001507,완료,486000,초티카 _R,rung
가상계좌,2024-03-29 16:14:22,000001507,완료,486000,초티카 _R,rung
가상계좌,2024-03-29 16:14:22,000001507,완료,486000,초티카 _R,rung
가상계좌,2024-03-29 16:14:22,000001507,완료,486000,초티카 _R,rung
가상계좌,2024-03-29 16:14:22,000001507,완료,486000,초티카 _R,rung
가상계좌,2024-03-29 16:14:22,000001507,완료,486000,초티카 _R,rung
가상계좌,2024-03-29 16:12:17,000001512,완료,21000,민투앙폰 _T,tip
가상계좌,2024-03-29 16:06:29,3000000471,완료,155700,1_ 농림상사 _H,hung
가상계좌,2024-03-29 16:06:29,3000000471,완료,155700,1_ 농림상사 _H,hung
가상계좌,2024-03-29 16:06:29,3000000471,완료,155700,1_ 농림상사 _H,hung
가상계좌,2024-03-29 16:06:29,3000000471,완료,155700,1_ 농림상사 _H,hung
가상계좌,2024-03-29 16:06:29,3000000471,완료,155700,1_ 농림상사 _H,hung
가상계좌,2024-03-29 16:06:29,3000000471,완료,155700,1_ 농림상사 _H,hung
가상계좌,2024-03-29 16:06:29,3000000471,완료,155700,1_ 농림상사 _H,hung
가상계좌,2024-03-29 16:00:30,000001511,완료,21400,마하차이 _H,hung
가상계좌,2024-03-29 16:00:30,000001511,완료,21400,마하차이 _H,hung
가상계좌,2024-03-29 15:58:44,000001506,완료,551600,1_난 타이 마트 _F,fie
가상계좌,2024-03-29 15:58:44,000001506,완료,551600,1_난 타이 마트 _F,fie
가상계좌,2024-03-29 15:58:44,000001506,완료,551600,1_난 타이 마트 _F,fie
가상계좌,2024-03-29 15:58:44,000001506,완료,551600,1_난 타이 마트 _F,fie
가상계좌,2024-03-29 15:58:44,000001506,완료,551600,1_난 타이 마트 _F,fie
가상계좌,2024-03-29 15:58:44,000001506,완료,551600,1_난 타이 마트 _F,fie
가상계좌,2024-03-29 15:58:44,000001506,완료,551600,1_난 타이 마트 _F,fie
가상계좌,2024-03-29 15:58:44,000001506,완료,551600,1_난 타이 마트 _F,fie
가상계좌,2024-03-29 15:50:36,000001504,완료,344000,1_ 88마트 _R,rung
가상계좌,2024-03-29 15:50:36,000001504,완료,344000,1_ 88마트 _R,rung
가상계좌,2024-03-29 15:45:06,000001495,완료,22400,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:06,000001495,완료,22400,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:06,000001495,완료,22400,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:06,000001495,완료,22400,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:06,000001495,완료,22400,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:06,000001495,완료,22400,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:06,000001495,완료,22400,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:06,000001495,완료,22400,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:04,000001510,완료,36750,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:04,000001510,완료,36750,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:04,000001510,완료,36750,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:04,000001510,완료,36750,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:04,000001510,완료,36750,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:04,000001510,완료,36750,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:04,000001510,완료,36750,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:04,000001510,완료,36750,PIPITSALA _F,fie
가상계좌,2024-03-29 15:45:04,000001510,완료,36750,PIPITSALA _F,fie
가상계좌,2024-03-29 15:35:41,000001509,완료,68700,박준식_타이타이 _T,tip
가상계좌,2024-03-29 15:35:41,000001509,완료,68700,박준식_타이타이 _T,tip
가상계좌,2024-03-29 15:24:49,3000000460,완료,26800,1_ 안남 _H,hung
가상계좌,2024-03-29 15:24:48,3000000455,완료,190400,1_ 안남 _H,hung
가상계좌,2024-03-29 15:08:36,000001505,완료,136300,1_ 냠냠 무카타 _T,tip
가상계좌,2024-03-29 15:08:36,000001505,완료,136300,1_ 냠냠 무카타 _T,tip
가상계좌,2024-03-29 15:08:36,000001505,완료,136300,1_ 냠냠 무카타 _T,tip
가상계좌,2024-03-29 15:08:36,000001505,완료,136300,1_ 냠냠 무카타 _T,tip
가상계좌,2024-03-29 15:08:36,000001505,완료,136300,1_ 냠냠 무카타 _T,tip
가상계좌,2024-03-29 14:38:20,000001500,완료,236100,1_ 타이996 _R,rung
가상계좌,2024-03-29 14:38:20,000001500,완료,236100,1_ 타이996 _R,rung
가상계좌,2024-03-29 14:38:20,000001500,완료,236100,1_ 타이996 _R,rung
가상계좌,2024-03-29 14:38:20,000001500,완료,236100,1_ 타이996 _R,rung
가상계좌,2024-03-29 14:27:05,000001499,완료,135200,1_ 파오퐁 _T,tip
가상계좌,2024-03-29 14:27:05,000001499,완료,135200,1_ 파오퐁 _T,tip
가상계좌,2024-03-29 14:14:11,000001498,완료,19800,Sutthita _F,fie
가상계좌,2024-03-29 14:14:11,000001498,완료,19800,Sutthita _F,fie
가상계좌,2024-03-29 14:00:54,000001496,완료,521000,씨암타이 태국식당 _T,tip
가상계좌,2024-03-29 14:00:54,000001496,완료,521000,씨암타이 태국식당 _T,tip
가상계좌,2024-03-29 14:00:54,000001496,완료,521000,씨암타이 태국식당 _T,tip
가상계좌,2024-03-29 14:00:54,000001496,완료,521000,씨암타이 태국식당 _T,tip
가상계좌,2024-03-29 14:00:54,000001496,완료,521000,씨암타이 태국식당 _T,tip
가상계좌,2024-03-29 14:00:54,000001496,완료,521000,씨암타이 태국식당 _T,tip
가상계좌,2024-03-29 13:58:30,000001497,완료,48750,NamNam _R,rung
가상계좌,2024-03-29 13:58:30,000001497,완료,48750,NamNam _R,rung
가상계좌,2024-03-29 13:58:30,000001497,완료,48750,NamNam _R,rung
가상계좌,2024-03-29 13:58:30,000001497,완료,48750,NamNam _R,rung
가상계좌,2024-03-29 13:58:30,000001497,완료,48750,NamNam _R,rung
가상계좌,2024-03-29 13:58:30,000001497,완료,48750,NamNam _R,rung
가상계좌,2024-03-29 13:58:30,000001497,완료,48750,NamNam _R,rung
가상계좌,2024-03-29 13:58:30,000001497,완료,48750,NamNam _R,rung
가상계좌,2024-03-29 13:44:20,000001493,완료,228000,1_ 사우독야 _F,fie
가상계좌,2024-03-29 13:44:20,000001493,완료,228000,1_ 사우독야 _F,fie
가상계좌,2024-03-29 13:44:20,000001493,완료,228000,1_ 사우독야 _F,fie
가상계좌,2024-03-29 13:44:20,000001493,완료,228000,1_ 사우독야 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
가상계좌,2024-03-29 13:39:04,000001492,완료,2645800,땡능 _F,fie
